Restaurant Name,Average Rating,Restaurant Type,Average Cost,Average Review Score
Shree Nerul Cafe,4.41,vegetarian,moderate,23.63
Shy Cafe And Bar,3.73,chinese,expensive,41.17
Barbeque Nation,4.29,barbecue,expensive,36.9
Ahmed Bhais,3.82,mughlai,moderate,33.32
