restaurant_name,restaurant_type,budget,review_count,img_url,rec_dishes,avg_rating
ahmed bhais,mughlai restaurant,moderately expensive,4594,,"['Murgh Mussalam', 'Tandoori']",3.5
arabian chillies restaurant,restaurant,moderately expensive,3871,,"['Butter Naan', 'Murgh Musallam', 'Garlic Chicken', 'Fried Rice', 'Chicken Biryani', 'Chicken Afghani', 'Chicken Tandoori', 'Chicken Steak', 'Chillies Special Soup', 'Chicken Crispy', 'Tandoori', 'Chicken Shawarma', 'Shawarma Platter']",3.5
